ds,y,temp,daylight,holiday
2019-01-22,50.0,-5.3,8.828611111111112,0
2019-01-23,46.0,-6.9,8.873611111111112,0
2019-01-24,43.0,-5.4,8.919444444444444,0
2019-01-25,63.0,-4.3,8.966388888888888,0
2019-01-26,105.0,-0.2,9.01388888888889,0
2019-01-27,40.0,3.1,9.0625,0
2019-01-28,67.0,2.2,9.111666666666666,0
2019-01-29,41.0,0.3,9.161666666666667,0
2019-01-30,65.0,-2.6,9.2125,0
2019-01-31,36.0,-0.8,9.26388888888889,0
2019-02-01,41.0,-0.2,9.31611111111111,1
2019-02-02,35.0,1.8,9.36888888888889,0
2019-02-03,40.0,-0.5,9.422222222222222,0
2019-02-04,63.0,-1.9,9.47638888888889,1
2019-02-05,47.0,-4.8,9.530833333333334,1
2019-02-06,30.0,-2.4,9.585833333333333,1
2019-02-07,54.0,-3.2,9.641388888888889,1
2019-02-08,64.0,2.1,9.6975,1
2019-02-09,41.0,4.0,9.75388888888889,1
2019-02-10,28.0,5.2,9.810833333333333,1
2019-02-11,35.0,3.4,9.868333333333334,1
2019-02-12,46.0,1.2,9.926111111111112,1
2019-02-13,33.0,3.3,9.984166666666667,1
2019-02-14,44.0,4.4,10.0425,1
2019-02-15,75.0,5.4,10.10138888888889,1
2019-02-16,56.0,3.7,10.160555555555556,1
2019-02-17,47.0,3.8,10.22,1
2019-02-18,84.0,3.6,10.279722222222222,1
2019-02-19,68.0,4.2,10.339722222222223,1
2019-02-20,49.0,4.2,10.399722222222222,1
2019-02-21,49.0,5.4,10.460277777777778,1
2019-02-22,59.0,4.3,10.520833333333334,1
2019-02-23,44.0,-3.1,10.581944444444444,1
2019-02-24,38.0,-0.2,10.643055555555556,1
2019-02-25,59.0,6.2,10.704166666666667,1
2019-02-26,42.0,7.0,10.765555555555556,1
2019-02-27,47.0,7.1,10.827222222222222,1
2019-02-28,70.0,9.7,10.889166666666666,1
2019-03-01,76.0,7.5,10.950833333333334,1
2019-03-02,51.0,3.3,11.013055555555555,1
2019-03-03,32.0,8.6,11.075,1
2019-03-04,46.0,9.8,11.1375,1
2019-03-05,40.0,4.9,11.199722222222222,1
2019-03-06,63.0,5.9,11.262222222222222,1
2019-03-07,47.0,8.3,11.324722222222222,1
2019-03-08,57.0,6.9,11.3875,1
2019-03-09,44.0,6.8,11.45,1
2019-03-10,44.0,6.9,11.512777777777778,1
2019-03-11,65.0,2.4,11.575555555555555,1
2019-03-12,66.0,2.9,11.638333333333334,1
2019-03-13,54.0,5.7,11.70138888888889,1
2019-03-14,66.0,4.6,11.764166666666666,1
2019-03-15,76.0,6.7,11.827222222222222,1
2019-03-16,46.0,6.6,11.89,1
2019-03-17,53.0,9.9,11.953055555555556,1
2019-03-18,51.0,4.2,12.015833333333333,0
2019-03-19,57.0,3.1,12.078888888888889,0
2019-03-20,52.0,5.0,12.141944444444444,0
2019-03-21,65.0,7.3,12.204722222222221,0
2019-03-22,86.0,9.6,12.267777777777777,0
2019-03-23,89.0,11.9,12.330555555555556,0
2019-03-24,31.0,7.7,12.393333333333333,0
2019-03-25,68.0,5.3,12.456111111111111,0
2019-03-26,46.0,4.6,12.519166666666667,0
2019-03-27,70.0,5.0,12.581666666666667,0
2019-03-28,29.0,7.1,12.644444444444444,0
2019-03-29,68.0,7.9,12.707222222222223,0
2019-03-30,66.0,9.3,12.769722222222223,0
2019-03-31,46.0,9.6,12.832222222222223,0
2019-04-01,115.0,6.5,12.894722222222223,0
2019-04-02,69.0,7.9,12.957222222222223,0
2019-04-03,42.0,11.4,13.019444444444444,0
2019-04-04,90.0,12.8,13.081666666666667,0
