date,y
2018-10-06,259
2018-10-07,228
2018-10-08,326
2018-10-09,323
2018-10-10,384
2018-10-11,344
2018-10-12,384
2018-10-13,292
2018-10-14,240
2018-10-15,324
2018-10-16,371
2018-10-17,301
2018-10-18,314
2018-10-19,332
2018-10-20,246
2018-10-21,211
2018-10-22,361
2018-10-23,313
2018-10-24,415
2018-10-25,354
2018-10-26,354
2018-10-27,279
2018-10-28,290
2018-10-29,394
2018-10-30,387
2018-10-31,352
2018-11-01,326
2018-11-02,353
2018-11-03,272
2018-11-04,216
2018-11-05,311
2018-11-06,320
2018-11-07,276
2018-11-08,271
2018-11-09,361
2018-11-10,226
2018-11-11,229
2018-11-12,315
2018-11-13,285
2018-11-14,375
2018-11-15,347
2018-11-16,373
2018-11-17,243
2018-11-18,177
2018-11-19,369
2018-11-20,333
2018-11-21,313
2018-11-22,257
2018-11-23,326
2018-11-24,247
2018-11-25,221
2018-11-26,335
2018-11-27,272
2018-11-28,327
2018-11-29,329
2018-11-30,383
2018-12-01,334
2018-12-02,231
2018-12-03,317
2018-12-04,309
2018-12-05,384
2018-12-06,284
2018-12-07,327
2018-12-08,229
2018-12-09,193
2018-12-10,315
2018-12-11,349
2018-12-12,392
2018-12-13,319
2018-12-14,357
2018-12-15,266
2018-12-16,219
2018-12-17,330
2018-12-18,326
2018-12-19,356
2018-12-20,406
2018-12-21,339
2018-12-22,236
2018-12-23,236
2018-12-24,130
2018-12-25,132
2018-12-26,145
2018-12-27,174
2018-12-28,185
2018-12-29,150
2018-12-30,125
2018-12-31,136
2019-01-01,451
2019-01-02,340
2019-01-03,372
2019-01-04,303
2019-01-05,171
2019-01-06,146
2019-01-07,259
2019-01-08,332
2019-01-09,342
2019-01-10,303
2019-01-11,391
2019-01-12,189
2019-01-13,188
2019-01-14,391
2019-01-15,283
2019-01-16,236
2019-01-17,273
2019-01-18,374
2019-01-19,192
2019-01-20,176
2019-01-21,252
2019-01-22,226
2019-01-23,273
2019-01-24,272
2019-01-25,280
2019-01-26,352
2019-01-27,168
2019-01-28,338
2019-01-29,237
2019-01-30,281
2019-01-31,254
2019-02-01,276
2019-02-02,194
2019-02-03,280
2019-02-04,336
2019-02-05,280
2019-02-06,267
2019-02-07,294
2019-02-08,315
2019-02-09,222
2019-02-10,154
2019-02-11,251
2019-02-12,247
2019-02-13,259
2019-02-14,291
2019-02-15,343
2019-02-16,227
2019-02-17,199
2019-02-18,325
2019-02-19,301
2019-02-20,252
2019-02-21,231
2019-02-22,271
2019-02-23,196
2019-02-24,158
2019-02-25,266
2019-02-26,252
2019-02-27,285
2019-02-28,286
2019-03-01,286
2019-03-02,177
2019-03-03,137
2019-03-04,274
2019-03-05,257
2019-03-06,306
2019-03-07,259
2019-03-08,318
2019-03-09,190
2019-03-10,247
2019-03-11,320
2019-03-12,248
2019-03-13,258
2019-03-14,282
2019-03-15,319
2019-03-16,241
2019-03-17,242
2019-03-18,269
2019-03-19,264
2019-03-20,275
2019-03-21,354
2019-03-22,332
2019-03-23,251
2019-03-24,146
2019-03-25,284
2019-03-26,248
2019-03-27,302
2019-03-28,275
2019-03-29,293
2019-03-30,227
2019-03-31,197
2019-04-01,357
2019-04-02,316
2019-04-03,291
2019-04-04,334
2019-04-05,322
2019-04-06,224
2019-04-07,196
2019-04-08,303
2019-04-09,358
2019-04-10,312
2019-04-11,282
2019-04-12,318
2019-04-13,207
2019-04-14,208
2019-04-15,395
2019-04-16,360
2019-04-17,372
2019-04-18,403
2019-04-19,265
2019-04-20,269
2019-04-21,241
2019-04-22,247
2019-04-23,362
2019-04-24,336
2019-04-25,368
2019-04-26,395
2019-04-27,232
2019-04-28,216
2019-04-29,388
2019-04-30,393
2019-05-01,209
2019-05-02,342
2019-05-03,316
2019-05-04,260
2019-05-05,176
2019-05-06,311
2019-05-07,316
2019-05-08,181
2019-05-09,316
2019-05-10,339
2019-05-11,262
2019-05-12,205
2019-05-13,370
2019-05-14,345
2019-05-15,336
2019-05-16,335
2019-05-17,356
2019-05-18,315
2019-05-19,227
2019-05-20,412
2019-05-21,330
2019-05-22,332
2019-05-23,332
2019-05-24,370
2019-05-25,241
2019-05-26,228
2019-05-27,294
2019-05-28,298
2019-05-29,273
2019-05-30,348
2019-05-31,351
2019-06-01,297
2019-06-02,251
2019-06-03,314
2019-06-04,339
2019-06-05,342
2019-06-06,322
2019-06-07,382
2019-06-08,241
2019-06-09,266
2019-06-10,374
2019-06-11,341
2019-06-12,359
2019-06-13,324
2019-06-14,441
2019-06-15,303
2019-06-16,271
2019-06-17,326
2019-06-18,335
2019-06-19,352
2019-06-20,358
2019-06-21,346
2019-06-22,263
2019-06-23,215
2019-06-24,345
2019-06-25,312
2019-06-26,361
2019-06-27,362
2019-06-28,351
2019-06-29,259
2019-06-30,278
2019-07-01,350
2019-07-02,315
2019-07-03,282
2019-07-04,344
2019-07-05,221
2019-07-06,220
2019-07-07,206
2019-07-08,294
2019-07-09,257
2019-07-10,278
2019-07-11,291
2019-07-12,370
2019-07-13,292
2019-07-14,198
2019-07-15,310
2019-07-16,307
2019-07-17,306
2019-07-18,293
2019-07-19,316
2019-07-20,261
2019-07-21,246
2019-07-22,301
2019-07-23,320
2019-07-24,325
2019-07-25,333
2019-07-26,336
2019-07-27,250
2019-07-28,216
2019-07-29,295
2019-07-30,298
2019-07-31,363
2019-08-01,369
2019-08-02,282
2019-08-03,249
2019-08-04,256
2019-08-05,314
2019-08-06,293
2019-08-07,304
2019-08-08,330
2019-08-09,324
2019-08-10,329
2019-08-11,254
2019-08-12,328
2019-08-13,315
2019-08-14,286
2019-08-15,290
2019-08-16,313
2019-08-17,225
2019-08-18,244
2019-08-19,322
2019-08-20,297
2019-08-21,285
2019-08-22,283
2019-08-23,322
2019-08-24,237
2019-08-25,206
2019-08-26,310
2019-08-27,293
2019-08-28,287
2019-08-29,323
2019-08-30,306
2019-08-31,255
2019-09-01,233
2019-09-02,364
2019-09-03,311
2019-09-04,345
2019-09-05,321
2019-09-06,361
2019-09-07,259
2019-09-08,232
2019-09-09,423
2019-09-10,328
2019-09-11,331
2019-09-12,317
2019-09-13,373
2019-09-14,229
2019-09-15,258
2019-09-16,329
2019-09-17,354
2019-09-18,330
2019-09-19,303
2019-09-20,347
2019-09-21,273
2019-09-22,273
2019-09-23,340
2019-09-24,306
2019-09-25,380
2019-09-26,310
2019-09-27,386
2019-09-28,257
2019-09-29,255
2019-09-30,366
2019-10-01,355
2019-10-02,361
2019-10-03,314
2019-10-04,311
2019-10-05,297
2019-10-06,210
2019-10-07,362
2019-10-08,350
2019-10-09,362
2019-10-10,389
2019-10-11,374
2019-10-12,341
2019-10-13,264
2019-10-14,368
2019-10-15,326
2019-10-16,374
2019-10-17,350
2019-10-18,369
2019-10-19,247
2019-10-20,266
2019-10-21,354
2019-10-22,287
2019-10-23,330
2019-10-24,333
2019-10-25,374
2019-10-26,292
2019-10-27,256
2019-10-28,194
2019-10-29,297
2019-10-30,283
2019-10-31,360
2019-11-01,326
2019-11-02,329
2019-11-03,211
2019-11-04,341
2019-11-05,307
2019-11-06,313
2019-11-07,348
2019-11-08,323
2019-11-09,259
2019-11-10,214
2019-11-11,319
2019-11-12,372
2019-11-13,393
2019-11-14,411
2019-11-15,376
2019-11-16,289
2019-11-17,234
2019-11-18,346
2019-11-19,326
2019-11-20,301
2019-11-21,359
2019-11-22,363
2019-11-23,253
2019-11-24,215
2019-11-25,334
2019-11-26,296
2019-11-27,320
2019-11-28,326
2019-11-29,369
2019-11-30,244
2019-12-01,194
2019-12-02,329
2019-12-03,324
2019-12-04,319
2019-12-05,319
2019-12-06,337
2019-12-07,343
2019-12-08,223
2019-12-09,321
2019-12-10,323
2019-12-11,410
2019-12-12,318
2019-12-13,333
2019-12-14,311
2019-12-15,231
2019-12-16,359
2019-12-17,300
2019-12-18,363
2019-12-19,324
2019-12-20,394
2019-12-21,277
2019-12-22,231
2019-12-23,277
2019-12-24,134
2019-12-25,140
2019-12-26,163
2019-12-27,215
2019-12-28,188
2019-12-29,145
2019-12-30,193
2019-12-31,141
2020-01-01,512
2020-01-02,206
2020-01-03,226
2020-01-04,160
2020-01-05,150
2020-01-06,252
2020-01-07,256
2020-01-08,282
2020-01-09,256
2020-01-10,318
2020-01-11,217
2020-01-12,193
2020-01-13,324
2020-01-14,307
2020-01-15,278
2020-01-16,281
2020-01-17,331
2020-01-18,257
2020-01-19,180
2020-01-20,283
2020-01-21,281
2020-01-22,287
2020-01-23,280
2020-01-24,281
2020-01-25,183
2020-01-26,176
2020-01-27,304
2020-01-28,260
2020-01-29,264
2020-01-30,256
2020-01-31,280
2020-02-01,224
2020-02-02,171
2020-02-03,316
2020-02-04,280
2020-02-05,277
2020-02-06,230
2020-02-07,264
2020-02-08,202
2020-02-09,193
2020-02-10,331
2020-02-11,306
2020-02-12,309
2020-02-13,292
2020-02-14,311
2020-02-15,215
2020-02-16,142
2020-02-17,256
2020-02-18,245
2020-02-19,275
2020-02-20,266
